group	x	y	showSelected1
1	4080	24	149
1	4080	24	598
1	4080	24	515
1	4080	24	181
2	4130	24	515
2	4130	24	279
2	4130	24	111
2	4130	24	267
2	4130	24	238
2	4130	24	598
2	4130	24	149
2	4130	24	1395
2	4130	24	531
2	4130	24	390
2	4130	24	1954
2	4130	24	1290
2	4130	24	804
2	4130	24	605
2	4130	24	316
2	4130	24	25
2	4130	24	654
2	4130	24	864
2	4130	24	844
2	4130	24	1030
2	4130	24	1308
2	4130	24	1073
2	4130	24	1394
2	4130	24	331
2	4130	24	1433
2	4130	24	373
2	4130	24	1298
2	4130	24	741
2	4130	24	2131
2	4130	24	920
2	4130	24	1067
2	4130	24	735
2	4130	24	1147
2	4130	24	1492
2	4130	24	1059
2	4130	24	1269
2	4130	24	358
2	4130	24	2200
2	4130	24	1305
2	4130	24	2109
2	4130	24	446
3	4130	74	238
3	4130	74	58
6	4180	74	58
6	4180	74	73
6	4180	74	38
6	4180	74	1598
6	4180	74	655
6	4180	74	238
6	4180	74	1100
6	4180	74	66
6	4180	74	556
6	4180	74	1778
6	4180	74	37
6	4180	74	1689
6	4180	74	233
6	4180	74	464
6	4180	74	284
6	4180	74	371
6	4180	74	331
6	4180	74	776
6	4180	74	1250
6	4180	74	875
6	4180	74	2257
6	4180	74	496
6	4180	74	881
6	4180	74	293
6	4180	74	301
6	4180	74	1159
6	4180	74	790
6	4180	74	851
6	4180	74	1893
5	4180	124	38
5	4180	124	37
8	4230	124	37
8	4230	124	730
8	4230	124	2003
8	4230	124	287
8	4230	124	182
8	4230	124	412
8	4230	124	125
8	4230	124	265
8	4230	124	1121
8	4230	124	431
8	4230	124	246
8	4230	124	1443
8	4230	124	124
8	4230	124	1204
8	4230	124	1940
8	4230	124	1300
8	4230	124	931
8	4230	124	1676
8	4230	124	38
8	4230	124	1447
8	4230	124	2273
8	4230	124	603
8	4230	124	534
8	4230	124	623
8	4230	124	1026
8	4230	124	29
8	4230	124	280
8	4230	124	389
8	4230	124	1268
8	4230	124	2218
8	4230	124	1000
8	4230	124	1427
8	4230	124	76
8	4230	124	2213
8	4230	124	2084
9	4230	174	412
9	4230	174	265
9	4230	174	539
9	4230	174	246
9	4230	174	48
13	4280	174	48
13	4280	174	2302
13	4280	174	1150
13	4280	174	249
13	4280	174	139
13	4280	174	859
13	4280	174	1256
13	4280	174	1108
13	4280	174	1788
13	4280	174	669
13	4280	174	1830
13	4280	174	68
13	4280	174	1979
13	4280	174	2164
13	4280	174	1066
13	4280	174	945
13	4280	174	816
13	4280	174	1114
13	4280	174	1792
13	4280	174	1499
13	4280	174	429
13	4280	174	365
13	4280	174	246
13	4280	174	1255
13	4280	174	1670
13	4280	174	2214
13	4280	174	1783
13	4280	174	1774
13	4280	174	825
13	4280	174	833
13	4280	174	2026
13	4280	174	2095
