x	y	clickSelects	xmin	xmax	ymin	ymax
4080	24	4100,0	4055	4105	-1	49
4130	24	4150,0	4105	4155	-1	49
4130	74	4150,50	4105	4155	49	99
4180	74	4200,50	4155	4205	49	99
4180	124	4200,100	4155	4205	99	149
4230	124	4250,100	4205	4255	99	149
4230	174	4250,150	4205	4255	149	199
4280	174	4300,150	4255	4305	149	199
4280	224	4300,200	4255	4305	199	249
4330	224	4350,200	4305	4355	199	249
4330	274	4350,250	4305	4355	249	299
4180	24	4200,0	4155	4205	-1	49
4280	124	4300,100	4255	4305	99	149
4230	74	4250,50	4205	4255	49	99
4330	174	4350,150	4305	4355	149	199
4380	224	4400,200	4355	4405	199	249
4230	24	4250,0	4205	4255	-1	49
4280	74	4300,50	4255	4305	49	99
4330	124	4350,100	4305	4355	99	149
4380	174	4400,150	4355	4405	149	199
4280	24	4300,0	4255	4305	-1	49
4380	124	4400,100	4355	4405	99	149
4330	74	4350,50	4305	4355	49	99
4430	174	4450,150	4405	4455	149	199
4330	24	4350,0	4305	4355	-1	49
4380	74	4400,50	4355	4405	49	99
4430	124	4450,100	4405	4455	99	149
4380	24	4400,0	4355	4405	-1	49
4430	74	4450,50	4405	4455	49	99
4480	124	4500,100	4455	4505	99	149
4430	24	4450,0	4405	4455	-1	49
4480	74	4500,50	4455	4505	49	99
4480	24	4500,0	4455	4505	-1	49
4530	74	4550,50	4505	4555	49	99
4530	24	4550,0	4505	4555	-1	49
4580	24	4600,0	4555	4605	-1	49
