xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-3.45	-2.55	-0.992750091385403	0	4100,0	1	0
-2.45	-1.55	-0.637870110880955	0	4100,0	2	0
-1.45	-0.55	-0.0140124284147679	0	4100,0	3	0
0.55	1.45	-1.73266723528695	0	4100,0	5	1
4.55	5.45	-0.0935177287681248	0	4100,0	9	4
-43.45	-42.55	-2.6806384793469	0	4150,0	11	5
-39.45	-38.55	-0.189167783599366	0	4150,0	15	8
-38.45	-37.55	-1.31716827098818	0	4150,0	16	8
-37.45	-36.55	-0.168453758986231	0	4150,0	17	8
-36.45	-35.55	-1.95138296576094	0	4150,0	18	8
-35.45	-34.55	-0.422505178506153	0	4150,0	19	8
-34.45	-33.55	-1.29097112221275	0	4150,0	20	8
-33.45	-32.55	-0.739612525892531	0	4150,0	21	8
-32.45	-31.55	-0.692092116485927	0	4150,0	22	8
-31.45	-30.55	-0.424028268551237	0	4150,0	23	8
-30.45	-29.55	-0.0155355184598513	0	4150,0	24	8
-29.45	-28.55	-0.828560984525405	0	4150,0	25	8
-28.45	-27.55	-1.62178628000487	0	4150,0	26	8
-27.45	-26.55	-1.1971487754356	0	4150,0	27	8
-26.45	-25.55	-2.92067747045205	0	4150,0	28	8
-25.45	-24.55	-0.238820519069087	0	4150,0	29	8
-24.45	-23.55	-1.01072255391739	0	4150,0	30	8
-23.45	-22.55	-0.986962349214085	0	4150,0	31	8
-22.45	-21.55	-0.656147191421957	0	4150,0	32	8
-21.45	-20.55	-0.0155355184598513	0	4150,0	33	8
-17.45	-16.55	-0.155964420616547	0	4150,0	37	11
-16.45	-15.55	-1.32386986718655	0	4150,0	38	11
-15.45	-14.55	-0.225417326672353	0	4150,0	39	11
-14.45	-13.55	-0.854453515291824	0	4150,0	40	11
-12.45	-11.55	-1.92579505300353	0	4150,0	42	12
-11.45	-10.55	-0.14926282441818	0	4150,0	43	12
-9.45	-8.55	-1.45820640916291	0	4150,0	45	13
-8.45	-7.55	-2.46192274887291	0	4150,0	46	13
-7.45	-6.55	-1.3211283051054	0	4150,0	47	13
-6.45	-5.55	-1.01133178993542	0	4150,0	48	13
-5.45	-4.55	-0.469111733885707	0	4150,0	49	13
-4.45	-3.55	-0.0243694407213355	0	4150,0	50	13
-3.45	-2.55	-0.966857560618984	0	4150,0	51	13
-0.45	0.45	-0.0929084927500914	0	4150,0	54	15
1.55	2.45	-0.0740221761910564	0	4150,0	56	16
2.55	3.45	-0.0191909345680517	0	4150,0	57	16
3.55	4.45	-0.350310710369197	0	4150,0	58	16
-43.45	-42.55	-2.6806384793469	0	4150,50	60	17
-39.45	-38.55	-0.189167783599366	0	4150,50	64	20
-38.45	-37.55	-1.31716827098818	0	4150,50	65	20
-37.45	-36.55	-0.168453758986231	0	4150,50	66	20
-36.45	-35.55	-1.95138296576094	0	4150,50	67	20
-35.45	-34.55	-0.422505178506153	0	4150,50	68	20
-34.45	-33.55	-1.29097112221275	0	4150,50	69	20
-33.45	-32.55	-0.739612525892531	0	4150,50	70	20
-32.45	-31.55	-0.692092116485927	0	4150,50	71	20
-31.45	-30.55	-0.424028268551237	0	4150,50	72	20
-30.45	-29.55	-0.0155355184598513	0	4150,50	73	20
-29.45	-28.55	-0.828560984525405	0	4150,50	74	20
-28.45	-27.55	-1.62178628000487	0	4150,50	75	20
-27.45	-26.55	-1.1971487754356	0	4150,50	76	20
-26.45	-25.55	-2.92067747045205	0	4150,50	77	20
-25.45	-24.55	-0.238820519069087	0	4150,50	78	20
-24.45	-23.55	-1.01072255391739	0	4150,50	79	20
-23.45	-22.55	-0.986962349214085	0	4150,50	80	20
-22.45	-21.55	-0.656147191421957	0	4150,50	81	20
-21.45	-20.55	-0.0155355184598513	0	4150,50	82	20
-17.45	-16.55	-0.155964420616547	0	4150,50	86	23
-16.45	-15.55	-1.32386986718655	0	4150,50	87	23
-15.45	-14.55	-0.225417326672353	0	4150,50	88	23
-14.45	-13.55	-0.854453515291824	0	4150,50	89	23
-12.45	-11.55	-1.92579505300353	0	4150,50	91	24
-11.45	-10.55	-0.14926282441818	0	4150,50	92	24
-9.45	-8.55	-1.45820640916291	0	4150,50	94	25
-8.45	-7.55	-2.46192274887291	0	4150,50	95	25
-7.45	-6.55	-1.3211283051054	0	4150,50	96	25
-6.45	-5.55	-1.01133178993542	0	4150,50	97	25
-5.45	-4.55	-0.469111733885707	0	4150,50	98	25
-4.45	-3.55	-0.0243694407213355	0	4150,50	99	25
-3.45	-2.55	-0.966857560618984	0	4150,50	100	25
-0.45	0.45	-0.0929084927500914	0	4150,50	103	27
1.55	2.45	-0.0740221761910564	0	4150,50	105	28
2.55	3.45	-0.0191909345680517	0	4150,50	106	28
3.55	4.45	-0.350310710369197	0	4150,50	107	28
-43.45	-42.55	-0.749360302181065	0	4200,50	110	30
-42.45	-41.55	-0.286950164493725	0	4200,50	111	30
-41.45	-40.55	-0.084379188497624	0	4200,50	112	30
-35.45	-34.55	-0.0106616303155843	0	4200,50	118	35
-34.45	-33.55	-0.018886316559035	0	4200,50	119	35
-33.45	-32.55	-0.878213719995126	0	4200,50	120	35
-31.45	-30.55	-0.0155355184598513	0	4200,50	122	36
-28.45	-27.55	-0.0362495430729865	0	4200,50	125	38
-25.45	-24.55	-1.13287437553308	0	4200,50	128	40
-23.45	-22.55	-0.0487388814426709	0	4200,50	130	41
-22.45	-21.55	0	0	4200,50	131	41
-21.45	-20.55	-0.34817838430608	0	4200,50	132	41
-18.45	-17.55	-0.0222371146582186	0	4200,50	135	43
-17.45	-16.55	-0.228768124771536	0	4200,50	136	43
-12.45	-11.55	-0.236383574996954	0	4200,50	141	47
-11.45	-10.55	-0.341476788107713	0	4200,50	142	47
-9.45	-8.55	-0.360667722675765	0	4200,50	144	48
-1.45	-0.55	-0.42006823443402	0	4200,50	152	55
2.55	3.45	-0.168453758986231	0	4200,50	156	58
3.55	4.45	-0.214755696356769	0	4200,50	157	58
-43.45	-42.55	-0.749360302181065	0	4200,100	161	61
-42.45	-41.55	-0.286950164493725	0	4200,100	162	61
-41.45	-40.55	-0.084379188497624	0	4200,100	163	61
-35.45	-34.55	-0.0106616303155843	0	4200,100	169	66
-34.45	-33.55	-0.018886316559035	0	4200,100	170	66
-33.45	-32.55	-0.878213719995126	0	4200,100	171	66
-31.45	-30.55	-0.0155355184598513	0	4200,100	173	67
-28.45	-27.55	-0.0362495430729865	0	4200,100	176	69
-25.45	-24.55	-1.13287437553308	0	4200,100	179	71
-23.45	-22.55	-0.0487388814426709	0	4200,100	181	72
-22.45	-21.55	0	0	4200,100	182	72
-21.45	-20.55	-0.34817838430608	0	4200,100	183	72
-18.45	-17.55	-0.0222371146582186	0	4200,100	186	74
-17.45	-16.55	-0.228768124771536	0	4200,100	187	74
-12.45	-11.55	-0.236383574996954	0	4200,100	192	78
-11.45	-10.55	-0.341476788107713	0	4200,100	193	78
-9.45	-8.55	-0.360667722675765	0	4200,100	195	79
-1.45	-0.55	-0.42006823443402	0	4200,100	203	86
2.55	3.45	-0.168453758986231	0	4200,100	207	89
3.55	4.45	-0.214755696356769	0	4200,100	208	89
-44.45	-43.55	-0.101133178993542	0	4250,100	210	90
-42.45	-41.55	-0.0106616303155843	0	4250,100	212	91
-40.45	-39.55	-0.213537224320702	0	4250,100	214	92
-39.45	-38.55	-0.848665773120507	0	4250,100	215	92
-38.45	-37.55	-0.00304618009016693	0	4250,100	216	92
-37.45	-36.55	-0.219020348483002	0	4250,100	217	92
-33.45	-32.55	-0.846838065066407	0	4250,100	221	95
-32.45	-31.55	-1.07408309979286	0	4250,100	222	95
-31.45	-30.55	-1.79145851102717	0	4250,100	223	95
-30.45	-29.55	-0.553795540392348	0	4250,100	224	95
-29.45	-28.55	-0.473985622029974	0	4250,100	225	95
-28.45	-27.55	-0.065492871938589	0	4250,100	226	95
-27.45	-26.55	-0.255879127574022	0	4250,100	227	95
-23.45	-22.55	-0.0140124284147679	0	4250,100	231	98
-19.45	-18.55	-0.176069209211649	0	4250,100	235	101
-17.45	-16.55	-0.147130498355063	0	4250,100	237	102
-15.45	-14.55	-0.386255635433167	0	4250,100	239	103
-14.45	-13.55	-0.131899597904228	0	4250,100	240	103
-13.45	-12.55	-0.37864018520775	0	4250,100	241	103
-12.45	-11.55	-1.26782015352748	0	4250,100	242	103
-11.45	-10.55	-0.640916290971122	0	4250,100	243	103
-10.45	-9.55	-0.742963323991714	0	4250,100	244	103
-9.45	-8.55	-0.497136590715243	0	4250,100	245	103
-7.45	-6.55	-0.332033629828195	0	4250,100	247	104
-6.45	-5.55	-0.000609236018033386	0	4250,100	248	104
-5.45	-4.55	-0.704581454855611	0	4250,100	249	104
0.55	1.45	-1.3887535031071	0	4250,100	255	109
1.55	2.45	-0.716156939198245	0	4250,100	256	109
2.55	3.45	-0.442305349092238	0	4250,100	257	109
3.55	4.45	-0.506579748994761	0	4250,100	258	109
-44.45	-43.55	-0.101133178993542	0	4250,150	259	109
-42.45	-41.55	-0.0106616303155843	0	4250,150	261	110
-40.45	-39.55	-0.213537224320702	0	4250,150	263	111
-39.45	-38.55	-0.848665773120507	0	4250,150	264	111
-38.45	-37.55	-0.00304618009016693	0	4250,150	265	111
-37.45	-36.55	-0.219020348483002	0	4250,150	266	111
-33.45	-32.55	-0.846838065066407	0	4250,150	270	114
-32.45	-31.55	-1.07408309979286	0	4250,150	271	114
-31.45	-30.55	-1.79145851102717	0	4250,150	272	114
-30.45	-29.55	-0.553795540392348	0	4250,150	273	114
-29.45	-28.55	-0.473985622029974	0	4250,150	274	114
-28.45	-27.55	-0.065492871938589	0	4250,150	275	114
-27.45	-26.55	-0.255879127574022	0	4250,150	276	114
-23.45	-22.55	-0.0140124284147679	0	4250,150	280	117
-19.45	-18.55	-0.176069209211649	0	4250,150	284	120
-17.45	-16.55	-0.147130498355063	0	4250,150	286	121
-15.45	-14.55	-0.386255635433167	0	4250,150	288	122
-14.45	-13.55	-0.131899597904228	0	4250,150	289	122
-13.45	-12.55	-0.37864018520775	0	4250,150	290	122
-12.45	-11.55	-1.26782015352748	0	4250,150	291	122
-11.45	-10.55	-0.640916290971122	0	4250,150	292	122
-10.45	-9.55	-0.742963323991714	0	4250,150	293	122
-9.45	-8.55	-0.497136590715243	0	4250,150	294	122
-7.45	-6.55	-0.332033629828195	0	4250,150	296	123
-6.45	-5.55	-0.000609236018033386	0	4250,150	297	123
-5.45	-4.55	-0.704581454855611	0	4250,150	298	123
0.55	1.45	-1.3887535031071	0	4250,150	304	128
1.55	2.45	-0.716156939198245	0	4250,150	305	128
2.55	3.45	-0.442305349092238	0	4250,150	306	128
3.55	4.45	-0.506579748994761	0	4250,150	307	128
-45.45	-44.55	-0.601925185816986	0	4300,150	308	128
-44.45	-43.55	-0.669245765809675	0	4300,150	309	128
-43.45	-42.55	-0.057572803704155	0	4300,150	310	128
-42.45	-41.55	-0.506884367003777	0	4300,150	311	128
-41.45	-40.55	-0.409711222127452	0	4300,150	312	128
-39.45	-38.55	-0.227245034726453	0	4300,150	314	129
