group	label	showSelected1
1	Cluster 12: 359/2514 pixels shown, logFC -1.7 to 1.8, log10(p) 0.0 to 2.8	12
1	Cluster 18: 1083/2190 pixels shown, logFC -1.4 to 1.8, log10(p) 0.0 to 3.5	18
1	Cluster 19: 1/1049 pixels shown, logFC -1.9 to 1.5, log10(p) 0.0 to 2.8	19
1	Cluster 51: 515/536 pixels shown, logFC -1.5 to 1.2, log10(p) 0.0 to 3.2	51
1	Cluster 77: 49/57 pixels shown, logFC -0.5 to 2.3, log10(p) 0.0 to 2.4	77
1	Cluster 89: 306/1167 pixels shown, logFC -1.9 to 1.3, log10(p) 0.0 to 4.3	89
1	Cluster 113: 22/25 pixels shown, logFC -2.1 to 0.6, log10(p) 0.0 to 2.2	113
1	Cluster 122: 40/158 pixels shown, logFC -1.4 to 1.7, log10(p) 0.0 to 3.2	122
1	Cluster 127: 292/806 pixels shown, logFC -1.5 to 1.8, log10(p) 0.0 to 2.5	127
1	Cluster 154: 41/72 pixels shown, logFC -0.5 to 1.6, log10(p) 0.0 to 2.9	154
1	Cluster 199: 11/254 pixels shown, logFC -2.1 to 0.6, log10(p) 0.0 to 4.0	199
1	Cluster 211: 152/1639 pixels shown, logFC -1.8 to 1.4, log10(p) 0.0 to 3.5	211
1	Cluster 221: 155/200 pixels shown, logFC -0.6 to 1.4, log10(p) 0.0 to 2.7	221
1	Cluster 245: 5/5 pixels shown, logFC -0.2 to 1.4, log10(p) 0.1 to 0.8	245
1	Cluster 261: 57/795 pixels shown, logFC -1.3 to 1.7, log10(p) 0.0 to 2.3	261
1	Cluster 266: 428/428 pixels shown, logFC -1.4 to 1.3, log10(p) 0.0 to 2.5	266
1	Cluster 367: 13/13 pixels shown, logFC -1.9 to 0.1, log10(p) 0.0 to 1.7	367
1	Cluster 437: 2/2 pixels shown, logFC -2.5 to -1.2, log10(p) 0.4 to 1.4	437
1	Cluster 449: 122/131 pixels shown, logFC -0.6 to 1.4, log10(p) 0.0 to 1.9	449
1	Cluster 503: 73/135 pixels shown, logFC -1.6 to 0.4, log10(p) 0.0 to 2.8	503
1	Cluster 518: 44/60 pixels shown, logFC -1.6 to 0.2, log10(p) 0.0 to 1.6	518
1	Cluster 532: 6/6 pixels shown, logFC 0.3 to 1.0, log10(p) 0.2 to 1.0	532
1	Cluster 553: 49/49 pixels shown, logFC -1.5 to 0.9, log10(p) 0.0 to 2.5	553
1	Cluster 590: 24/24 pixels shown, logFC -0.0 to 1.5, log10(p) 0.0 to 2.4	590
1	Cluster 621: 50/52 pixels shown, logFC -1.3 to -0.1, log10(p) 0.1 to 1.6	621
1	Cluster 622: 4/4 pixels shown, logFC -1.7 to -0.5, log10(p) 0.6 to 1.4	622
1	Cluster 674: 450/690 pixels shown, logFC -1.7 to 1.4, log10(p) 0.0 to 3.0	674
1	Cluster 685: 34/34 pixels shown, logFC -0.6 to 1.1, log10(p) 0.0 to 1.5	685
1	Cluster 718: 3/3 pixels shown, logFC 0.7 to 1.6, log10(p) 0.4 to 1.4	718
1	Cluster 732: 15/65 pixels shown, logFC -1.4 to 0.3, log10(p) 0.0 to 2.3	732
1	Cluster 754: 18/18 pixels shown, logFC -1.8 to -0.1, log10(p) 0.1 to 3.3	754
1	Cluster 759: 98/98 pixels shown, logFC -1.3 to 0.6, log10(p) 0.0 to 1.9	759
1	Cluster 788: 109/110 pixels shown, logFC -1.7 to 0.8, log10(p) 0.0 to 1.9	788
1	Cluster 803: 15/15 pixels shown, logFC 0.1 to 1.8, log10(p) 0.1 to 1.8	803
1	Cluster 805: 5/5 pixels shown, logFC 0.1 to 1.1, log10(p) 0.0 to 1.1	805
1	Cluster 887: 64/64 pixels shown, logFC -1.0 to 0.4, log10(p) 0.0 to 2.3	887
1	Cluster 992: 98/98 pixels shown, logFC -0.7 to 1.7, log10(p) 0.0 to 2.1	992
1	Cluster 1002: 5/5 pixels shown, logFC -2.3 to -0.7, log10(p) 0.8 to 3.1	1002
1	Cluster 1006: 13/13 pixels shown, logFC -1.2 to -0.4, log10(p) 0.4 to 2.3	1006
1	Cluster 1019: 7/11 pixels shown, logFC -1.9 to -0.1, log10(p) 0.1 to 2.8	1019
1	Cluster 1041: 1/1 pixels shown, logFC 2.1 to 2.1, log10(p) 0.9 to 0.9	1041
1	Cluster 1087: 1/12 pixels shown, logFC 0.1 to 0.7, log10(p) 0.1 to 1.0	1087
1	Cluster 1106: 8/8 pixels shown, logFC 0.2 to 1.0, log10(p) 0.2 to 0.7	1106
1	Cluster 1123: 43/43 pixels shown, logFC -1.3 to -0.2, log10(p) 0.3 to 2.5	1123
1	Cluster 1142: 4/4 pixels shown, logFC 1.3 to 2.1, log10(p) 0.6 to 1.2	1142
1	Cluster 1217: 3/3 pixels shown, logFC 1.3 to 1.9, log10(p) 0.6 to 1.2	1217
1	Cluster 1221: 1/1 pixels shown, logFC -2.6 to -2.6, log10(p) 0.7 to 0.7	1221
1	Cluster 1289: 1/1 pixels shown, logFC 3.0 to 3.0, log10(p) 2.1 to 2.1	1289
1	Cluster 1556: 1/1 pixels shown, logFC 2.3 to 2.3, log10(p) 1.2 to 1.2	1556
1	Cluster 1566: 1/1 pixels shown, logFC 2.3 to 2.3, log10(p) 1.2 to 1.2	1566
1	Cluster 1725: 7/7 pixels shown, logFC 0.1 to 1.0, log10(p) 0.0 to 1.1	1725
1	Cluster 1730: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	1730
1	Cluster 1746: 4/4 pixels shown, logFC -1.7 to -1.3, log10(p) 0.6 to 1.3	1746
1	Cluster 1750: 1/1 pixels shown, logFC 1.9 to 1.9, log10(p) 1.2 to 1.2	1750
1	Cluster 1777: 1/1 pixels shown, logFC 1.9 to 1.9, log10(p) 2.7 to 2.7	1777
1	Cluster 1802: 1/1 pixels shown, logFC -3.1 to -3.1, log10(p) 1.0 to 1.0	1802
1	Cluster 1912: 1/1 pixels shown, logFC 4.3 to 4.3, log10(p) 2.2 to 2.2	1912
1	Cluster 1959: 15/17 pixels shown, logFC -0.7 to -0.0, log10(p) 0.0 to 1.9	1959
1	Cluster 2004: 1/1 pixels shown, logFC -2.5 to -2.5, log10(p) 3.2 to 3.2	2004
1	Cluster 2015: 17/17 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 0.7	2015
1	Cluster 2091: 2/2 pixels shown, logFC 1.8 to 2.1, log10(p) 0.6 to 0.9	2091
1	Cluster 2143: 13/41 pixels shown, logFC -0.6 to 0.4, log10(p) 0.0 to 1.4	2143
1	Cluster 2205: 12/12 pixels shown, logFC 0.2 to 1.3, log10(p) 0.1 to 1.3	2205
1	Cluster 2209: 1/1 pixels shown, logFC -2.7 to -2.7, log10(p) 1.7 to 1.7	2209
1	Cluster 2217: 1/4 pixels shown, logFC -0.9 to -0.7, log10(p) 0.4 to 1.2	2217
